model, data, config_name, application_name, search, restart, round, rounds, limit_s, duration_s, obj, init_time_s, solve_time_s, solutions, variables, propagators, propagations, nodes, failures, restarts, peak_depth, num_solutions
"prepare_modded",     "prepare14", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   9,  10,   100,   100, 1080,    0, 100.00,   18, 12001, 2891,  9833790,    98206,    48826,    0,  102,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   3,  10,    30,    31, 4349,    0,  30.00, 1174, 2451, 2891, 23429102,   144506,    15328, 1177,  140,  1
"prepare_modded",     "prepare14", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",  10,  10,   100,   100, 1080,    0, 100.00,   18, 12001, 2891,  9622795,    96074,    47760,    0,  102,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   4,  10,    30,    30, 4436,    0,  30.00, 1114, 2451, 2891, 22242172,   137238,    14595, 1117,  140,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   5,  10,    30,    31, 4393,    0,  30.00, 1147, 2451, 2891, 22899663,   141213,    14969, 1150,  140,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   6,  10,    30,    30, 4316,    0,  30.00, 1203, 2451, 2891, 24009531,   148367,    15867, 1206,  140,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   7,  10,    30,    31, 4343,    0,  30.00, 1180, 2451, 2891, 23540894,   145294,    15454, 1183,  140,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   8,  10,    30,    31, 4378,    0,  30.00, 1155, 2451, 2891, 23042162,   142079,    15048, 1158,  140,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   9,  10,    30,    30, 4285,    0,  30.00, 1225, 2451, 2891, 24434696,   151013,    16135, 1228,  140,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",  10,  10,    30,    31, 4417,    0,  30.00, 1133, 2451, 2891, 22619390,   139528,    14819, 1136,  140,  1
